"","mod","aics","bics","lrts"
"1",1,6552.45398980787,6656.00510260686,5.34072246289079e-11
"2",2,6768.98306326772,6872.53417606671,3.27866598535372e-30
"3",3,6726.64252927686,6837.09704959577,7.43422431717542e-26
"4",4,6566.71871510448,6642.65619782374,2.92967605063593e-12
"5",5,6554.09054127928,6650.73824655833,3.58881730208501e-11
"6",6,6522.11767771078,6639.47560554963,7.73162534575578e-09
"7",7,6415.03756162105,6511.6852669001,0.002124408098295
"8",8,6719.39198634612,6809.13628410524,2.42472734486431e-25
"9",9,6563.09213060092,6652.83642836004,7.05749861080431e-12
"10",10,6513.26373037383,6603.00802813295,1.74689579094563e-08
"11",11,6570.09431113734,6666.74201641639,2.45864070951986e-12
"12",12,6542.14966175049,6645.70077454948,2.79610241055071e-10
"13",13,6426.01372511816,6522.66143039721,0.000770086488991868
"14",14,6755.07552136022,6831.01300407947,4.81051844617703e-29
"15",15,6578.56182112811,6654.49930384737,3.78955158074157e-13
"16",16,6529.76874575718,6612.60963599636,1.31872475589476e-09
"17",17,6541.20849705502,6630.95279481413,2.51608780435291e-10
"18",18,6423.42539275974,6506.26628299893,0.000830324655797238
"19",19,6390.4757442788,6494.02685707779,0.016623630013461
"20",20,6525.42067066158,6601.35815338083,2.25946783567612e-09
"21",21,6559.78433904464,6656.43204432369,1.40069826419177e-11
"22",22,6618.43097841622,6721.9820912152,4.49591269320916e-16
"23",23,6442.56844671063,6525.40933694982,0.000119878990964727
"24",24,6728.94305756501,6832.494170364,3.78240542735118e-26
"25",25,6567.38733362688,6643.32481634613,2.61434980396536e-12
"26",26,6566.15666405062,6662.80436932967,4.80475411638077e-12
"27",27,6528.18663982373,6638.64116014264,2.75547803236351e-09
"28",28,6415.83247401018,6484.86654920951,0.00142507880128603
"29",29,6404.75059497579,6515.2051152947,0.00596084048564349
"30",30,6513.6261329493,6596.46702318849,1.47014362094077e-08
"31",31,6545.15135315864,6627.99224339783,1.18113546867822e-10
"32",32,6424.42891186807,6493.46298706739,0.000634430059621788
"33",33,6407.92121994889,6518.37574026781,0.00459144596008326
"34",34,6527.21306638109,6589.34373406048,1.34272861319742e-09
"35",35,6388.46474767506,6464.40223039431,0.0146714185123252
"36",36,6554.31313104644,6644.05742880556,3.03732148274774e-11
"37",37,6635.90887736501,6711.84636008426,8.52579142885494e-18
"38",38,6473.28637440357,6542.3204496029,2.7638979938147e-06
"39",39,6723.5205328749,6806.36142311409,8.20156451577513e-26
"40",40,6566.80462745178,6649.64551769097,3.29877706646848e-12
"41",41,6588.30946152909,6657.34353672841,5.87043007617534e-14
"42",42,6523.26342331468,6592.29749851401,2.76702951712357e-09
"43",43,6417.20068045229,6506.94497821141,0.00161179844835565
"44",44,6431.69330611456,6493.82397379395,0.000282278285289025
"45",45,6510.96954222256,6593.81043246174,2.15973613752246e-08
"46",46,6541.56598021132,6624.4068704505,2.09308320511419e-10
"47",47,6423.93557537427,6479.16283553373,0.00055905300181297
"48",48,6443.14615598138,6505.27682366077,8.46989182533225e-05
"49",49,6527.86423893147,6589.99490661086,1.21540838234256e-09
"50",50,6387.882884032,6443.11014419145,0.0124628365133871
"51",51,6544.20147513158,6620.13895785083,1.20977074867817e-10
"52",52,6419.18200201005,6495.11948472931,0.00113730352954166
"53",53,6440.57108574865,6516.5085684679,0.000134963015647676
"54",54,6520.35724863701,6610.10154639613,6.16990350305006e-09
"55",55,6381.27577932144,6457.2132620407,0.0244128935398779
"56",56,6387.61324194943,6456.64731714876,0.0145861105030772
"57",57,6568.9238636408,6658.66816139992,2.62724817773236e-12
"58",58,6527.27174533655,6596.30582053587,1.50670184260497e-09
"59",59,6433.39992515489,6516.24081539408,0.000311434157383375
"60",60,6731.07988723161,6813.9207774708,1.4694140887417e-26
"61",61,6582.28169038875,6692.73621070767,3.89069975324486e-13
"62",62,6517.16722937488,6600.00811961407,8.75688172634104e-09
"63",63,6529.34118815974,6584.5684483192,8.55133783841882e-10
"64",64,6433.76770495533,6523.51200271445,0.000328411716025437
"65",65,6384.3211971078,6460.25867982706,0.0197591190262063
"66",66,6517.94526782001,6614.59297309906,9.94759214342285e-09
"67",67,6543.33066098181,6598.55792114127,9.46526261939461e-11
"68",68,6441.63310642037,6531.37740417948,0.000145486746594199
"69",69,6395.1867918143,6471.12427453356,0.00883470371917361
"70",70,6532.88759902376,6615.72848926294,8.1578261323049e-10
"71",71,6393.76174542902,6455.89241310841,0.00854771102214707
"72",72,6528.07275498956,6604.01023770882,1.50951910047814e-09
"73",73,6431.63384499863,6521.37814275775,0.000406948769203351
"74",74,6440.07548533693,6516.01296805618,0.000142240596165858
"75",75,6514.69150427318,6604.4358020323,1.41957034557536e-08
"76",76,6382.98939643402,6465.83028667321,0.023144740519785
"77",77,6393.44258129117,6476.28347153036,0.0108465932994111
"78",78,6525.68794778296,6601.62543050221,2.16979510060718e-09
"79",79,6434.18469256295,6517.02558280214,0.000287566067019327
"80",80,6432.15229561922,6508.08977833848,0.000322846331334164
"81",81,6514.66028907258,6597.50117931177,1.26451498049799e-08
"82",82,6385.49376962087,6461.43125234012,0.0181837385239118
"83",83,6395.96952139934,6471.90700411859,0.00831191426017741
"84",84,6406.65385616802,6496.39815392714,0.00405535383664988
"85",85,6552.45398980787,6656.00510260686,5.34072246289079e-11
"86",86,6768.98306326772,6872.53417606671,3.27866598535372e-30
"87",87,6726.64252927686,6837.09704959577,7.43422431717542e-26
"88",88,6566.71871510448,6642.65619782374,2.92967605063593e-12
"89",89,6554.09054127928,6650.73824655833,3.58881730208501e-11
"90",90,6522.11767771078,6639.47560554963,7.73162534575578e-09
"91",91,6415.03756162105,6511.6852669001,0.002124408098295
"92",92,6719.39198634612,6809.13628410524,2.42472734486431e-25
"93",93,6563.09213060092,6652.83642836004,7.05749861080431e-12
"94",94,6513.26373037383,6603.00802813295,1.74689579094563e-08
"95",95,6570.09431113734,6666.74201641639,2.45864070951986e-12
"96",96,6542.14966175049,6645.70077454948,2.79610241055071e-10
"97",97,6426.01372511816,6522.66143039721,0.000770086488991868
"98",98,6755.07552136022,6831.01300407947,4.81051844617703e-29
"99",99,6578.56182112811,6654.49930384737,3.78955158074157e-13
"100",100,6529.76874575718,6612.60963599636,1.31872475589476e-09
"101",101,6541.20849705502,6630.95279481413,2.51608780435291e-10
"102",102,6423.42539275974,6506.26628299893,0.000830324655797238
"103",103,6390.4757442788,6494.02685707779,0.016623630013461
"104",104,6525.42067066158,6601.35815338083,2.25946783567612e-09
"105",105,6559.78433904464,6656.43204432369,1.40069826419177e-11
"106",106,6618.43097841622,6721.9820912152,4.49591269320916e-16
"107",107,6442.56844671063,6525.40933694982,0.000119878990964727
"108",108,6728.94305756501,6832.494170364,3.78240542735118e-26
"109",109,6567.38733362688,6643.32481634613,2.61434980396536e-12
"110",110,6566.15666405062,6662.80436932967,4.80475411638077e-12
"111",111,6528.18663982373,6638.64116014264,2.75547803236351e-09
"112",112,6415.83247401018,6484.86654920951,0.00142507880128603
"113",113,6404.75059497579,6515.2051152947,0.00596084048564349
"114",114,6513.6261329493,6596.46702318849,1.47014362094077e-08
"115",115,6545.15135315864,6627.99224339783,1.18113546867822e-10
"116",116,6424.42891186807,6493.46298706739,0.000634430059621788
"117",117,6407.92121994889,6518.37574026781,0.00459144596008326
"118",118,6527.21306638109,6589.34373406048,1.34272861319742e-09
"119",119,6388.46474767506,6464.40223039431,0.0146714185123252
"120",120,6554.31313104644,6644.05742880556,3.03732148274774e-11
"121",121,6635.90887736501,6711.84636008426,8.52579142885494e-18
"122",122,6473.28637440357,6542.3204496029,2.7638979938147e-06
"123",123,6723.5205328749,6806.36142311409,8.20156451577513e-26
"124",124,6566.80462745178,6649.64551769097,3.29877706646848e-12
"125",125,6588.30946152909,6657.34353672841,5.87043007617534e-14
"126",126,6523.26342331468,6592.29749851401,2.76702951712357e-09
"127",127,6417.20068045229,6506.94497821141,0.00161179844835565
"128",128,6431.69330611456,6493.82397379395,0.000282278285289025
"129",129,6510.96954222256,6593.81043246174,2.15973613752246e-08
"130",130,6541.56598021132,6624.4068704505,2.09308320511419e-10
"131",131,6423.93557537427,6479.16283553373,0.00055905300181297
"132",132,6443.14615598138,6505.27682366077,8.46989182533225e-05
"133",133,6527.86423893147,6589.99490661086,1.21540838234256e-09
"134",134,6387.882884032,6443.11014419145,0.0124628365133871
"135",135,6544.20147513158,6620.13895785083,1.20977074867817e-10
"136",136,6419.18200201005,6495.11948472931,0.00113730352954166
"137",137,6440.57108574865,6516.5085684679,0.000134963015647676
"138",138,6520.35724863701,6610.10154639613,6.16990350305006e-09
"139",139,6381.27577932144,6457.2132620407,0.0244128935398779
"140",140,6387.61324194943,6456.64731714876,0.0145861105030772
"141",141,6568.9238636408,6658.66816139992,2.62724817773236e-12
"142",142,6527.27174533655,6596.30582053587,1.50670184260497e-09
"143",143,6433.39992515489,6516.24081539408,0.000311434157383375
"144",144,6731.07988723161,6813.9207774708,1.4694140887417e-26
"145",145,6582.28169038875,6692.73621070767,3.89069975324486e-13
"146",146,6517.16722937488,6600.00811961407,8.75688172634104e-09
"147",147,6529.34118815974,6584.5684483192,8.55133783841882e-10
"148",148,6433.76770495533,6523.51200271445,0.000328411716025437
"149",149,6384.3211971078,6460.25867982706,0.0197591190262063
"150",150,6517.94526782001,6614.59297309906,9.94759214342285e-09
"151",151,6543.33066098181,6598.55792114127,9.46526261939461e-11
"152",152,6441.63310642037,6531.37740417948,0.000145486746594199
"153",153,6395.1867918143,6471.12427453356,0.00883470371917361
"154",154,6532.88759902376,6615.72848926294,8.1578261323049e-10
