"","mod","aics","bics","lrts"
"1",1,6807.28787856027,6841.80491615993,6.03180865266873e-35
"2",2,6991.38082310188,7039.7046757414,2.21507202542223e-56
"3",3,7021.48622564259,7049.09985572232,2.25987360861965e-60
"4",4,6665.69930767957,6714.0231603191,1.12033278228877e-20
"5",5,6811.22899190024,6845.7460294999,2.25361390754899e-35
"6",6,6966.12970406554,7007.55014918513,2.59865334575978e-53
"7",7,6637.95108486886,6672.46812246852,2.3827181110765e-18
"8",8,6983.30478837486,7031.62864101439,2.25574750830556e-55
"9",9,7022.72155824754,7043.43178080733,1.3595728239896e-60
"10",10,6696.79279717804,6738.21324229764,1.26218535170673e-23
"11",11,6808.26676663781,6849.68721175741,5.51397495304404e-35
"12",12,6963.05702488166,6990.67065496139,4.59808784339541e-53
"13",13,6674.10440369797,6708.62144129763,1.42625337449028e-21
"14",14,7108.17040589663,7135.78403597636,1.13852606768925e-71
"15",15,6719.84233604479,6768.16618868432,8.79432192900978e-26
"16",16,6839.26535054392,6880.68579566351,2.14317198027356e-38
"17",17,7039.3070761887,7073.82411378836,1.37047584751454e-62
"18",18,6674.44686691564,6715.86731203524,1.53980722451031e-21
"19",19,6731.86330760147,6773.28375272106,4.91283243639846e-27
"20",20,6870.3620089103,6911.7824540299,6.48520190255862e-42
"21",21,7075.74515174862,7096.45537430841,1.90834124614699e-67
"22",22,6689.98534027999,6724.50237787965,4.77283930940241e-23
"23",23,6592.99393841671,6620.60756849644,1.09793926414835e-14
"24",24,6699.55128458461,6734.06832218427,5.93269196493022e-24
"25",25,6483.26586132027,6510.8794914,3.95496935942556e-07
"26",26,6821.26860805813,6848.88223813786,1.54587612758748e-36
"27",27,6593.59173663037,6621.2053667101,9.84502949446564e-15
"28",28,6627.88405441748,6662.40109201714,1.7348082632107e-17
"29",29,6788.84561435939,6837.16946699892,7.81305001113942e-33
"30",30,6820.22632694894,6861.64677206853,2.73916287796029e-36
"31",31,6584.22908212645,6611.84271220618,5.34452111407435e-14
"32",32,6812.36451083176,6853.78495595136,1.97897215262226e-35
"33",33,6765.72585349062,6800.24289109028,1.53137216467776e-30
"34",34,6602.90068959984,6637.4177271995,2.03633089028216e-15
"35",35,7166.52338515744,7180.33020019731,1.14714615461118e-79
"36",36,6746.87131611516,6788.29176123475,1.52819166613521e-28
"37",37,6788.14594177749,6829.56638689708,7.94550542485244e-33
"38",38,7060.41623533548,7094.93327293514,2.54785381200954e-65
"39",39,6712.80971776415,6747.32675536382,3.14693499461975e-25
"40",40,6752.25398214107,6793.67442726066,4.33407764419532e-29
"41",41,6812.9682784622,6847.48531606186,1.45766340513888e-35
"42",42,7063.72628148682,7084.43650404661,7.09745395664809e-66
"43",43,6728.42240553069,6762.93944313035,9.26071482841717e-27
"44",44,6584.32752431979,6611.94115439952,5.25125590669022e-14
"45",45,6694.24073452132,6728.75777212098,1.89448964512523e-23
"46",46,6504.48288781522,6538.99992541488,2.38470190605176e-08
"47",47,6761.11528047019,6788.72891054992,3.93328894650038e-30
"48",48,6600.54637095828,6648.87022359781,4.16986587344344e-15
"49",49,6634.48366666965,6669.00070426931,4.74047550178702e-18
"50",50,6988.73833651073,7016.35196659046,3.0388889713805e-56
"51",51,6678.6035095033,6720.02395462289,6.37768560808632e-22
"52",52,6786.50629971081,6827.92674483041,1.18591959309682e-32
"53",53,6934.08687483891,6968.60391243858,1.78322140461974e-49
"54",54,6655.2991881531,6703.62304079263,9.60709536217412e-20
"55",55,6695.81479705543,6730.33183465509,1.34410173265526e-23
"56",56,6813.90107556258,6848.41811316224,1.15356655450485e-35
"57",57,6977.55775466188,6998.26797722168,6.43941943822314e-55
"58",58,6673.53924276504,6714.95968788464,1.86520494360179e-21
"59",59,6582.57799735546,6610.19162743519,7.17610736618538e-14
"60",60,6664.87484977251,6692.48847985224,8.52938130065102e-21
"61",61,6488.72195745543,6516.33558753516,1.90425925812021e-07
"62",62,6761.67310582111,6789.28673590084,3.44536998712573e-30
"63",63,6600.24843871168,6634.76547631134,3.33055292065537e-15
"64",64,6611.01107435666,6645.52811195632,4.44811757064777e-16
"65",65,6756.10157935286,6797.52202447246,1.75206474492493e-29
"66",66,6966.56924322876,7007.98968834836,2.29422361601359e-53
"67",67,7085.57778816334,7113.19141824307,1.12181957986358e-68
"68",68,6712.98589650556,6754.40634162515,3.52133106727483e-25
"69",69,6649.09704005308,6697.42089269261,3.39997488896797e-19
"70",70,6705.27314494675,6746.69359006634,1.95628327047126e-24
"71",71,6507.26086375025,6541.77790134991,1.59995646026328e-08
"72",72,6868.01971749041,6909.44016261,1.20304978511486e-41
"73",73,6650.45476470676,6691.87520982636,2.22914335963226e-19
"74",74,6629.72514895164,6678.04900159116,1.61428337598376e-17
"75",75,6654.14320727628,6695.56365239588,1.05071492691812e-19
"76",76,6709.80416974009,6744.32120733975,6.15229883624876e-25
"77",77,6510.48462180858,6545.00165940824,1.00209625024718e-08
"78",78,6880.93727216339,6915.45430976305,3.36685655550837e-43
"79",79,6666.6504437959,6701.16748139556,6.82979986700066e-21
"80",80,6639.92358893288,6681.34403405247,1.85978419745667e-18
"81",81,6598.30132058023,6632.81835817989,4.77114313728164e-15
"82",82,6471.45345790357,6505.97049550323,2.03259599788479e-06
"83",83,6453.97631810632,6488.49335570598,1.69002505753504e-05
"84",84,6575.15603128893,6609.67306888859,3.04880826651749e-13
"85",85,6807.28787856027,6841.80491615993,6.03180865266873e-35
"86",86,6991.38082310188,7039.7046757414,2.21507202542223e-56
"87",87,7021.48622564259,7049.09985572232,2.25987360861965e-60
"88",88,6665.69930767957,6714.0231603191,1.12033278228877e-20
"89",89,6811.22899190024,6845.7460294999,2.25361390754899e-35
"90",90,6966.12970406554,7007.55014918513,2.59865334575978e-53
"91",91,6637.95108486886,6672.46812246852,2.3827181110765e-18
"92",92,6983.30478837486,7031.62864101439,2.25574750830556e-55
"93",93,7022.72155824754,7043.43178080733,1.3595728239896e-60
"94",94,6696.79279717804,6738.21324229764,1.26218535170673e-23
"95",95,6808.26676663781,6849.68721175741,5.51397495304404e-35
"96",96,6963.05702488166,6990.67065496139,4.59808784339541e-53
"97",97,6674.10440369797,6708.62144129763,1.42625337449028e-21
"98",98,7108.17040589663,7135.78403597636,1.13852606768925e-71
"99",99,6719.84233604479,6768.16618868432,8.79432192900978e-26
"100",100,6839.26535054392,6880.68579566351,2.14317198027356e-38
"101",101,7039.3070761887,7073.82411378836,1.37047584751454e-62
"102",102,6674.44686691564,6715.86731203524,1.53980722451031e-21
"103",103,6731.86330760147,6773.28375272106,4.91283243639846e-27
"104",104,6870.3620089103,6911.7824540299,6.48520190255862e-42
"105",105,7075.74515174862,7096.45537430841,1.90834124614699e-67
"106",106,6689.98534027999,6724.50237787965,4.77283930940241e-23
"107",107,6592.99393841671,6620.60756849644,1.09793926414835e-14
"108",108,6699.55128458461,6734.06832218427,5.93269196493022e-24
"109",109,6483.26586132027,6510.8794914,3.95496935942556e-07
"110",110,6821.26860805813,6848.88223813786,1.54587612758748e-36
"111",111,6593.59173663037,6621.2053667101,9.84502949446564e-15
"112",112,6627.88405441748,6662.40109201714,1.7348082632107e-17
"113",113,6788.84561435939,6837.16946699892,7.81305001113942e-33
"114",114,6820.22632694894,6861.64677206853,2.73916287796029e-36
"115",115,6584.22908212645,6611.84271220618,5.34452111407435e-14
"116",116,6812.36451083176,6853.78495595136,1.97897215262226e-35
"117",117,6765.72585349062,6800.24289109028,1.53137216467776e-30
"118",118,6602.90068959984,6637.4177271995,2.03633089028216e-15
"119",119,7166.52338515744,7180.33020019731,1.14714615461118e-79
